skill	category	evidence	size	priority	proposal	preserve	validation	confidence	source
alaa-algorithms-data-structures	Architecture/testing	Body and all eight references inspected; no static instruction defect found; no executable assets	None	Defer	Leave static guidance unchanged; consumer proof remains task-specific	Sourced bounds; batch caps and partial failures; streaming; reasoned versus measured proof	Consumer-specific bounded-input and query-count evidence when applied	High for static guidance	Repository contract; versions.md
alaa-arvan-object-storage	Data/integrations	SKILL.md:29-72; references/SOURCES.md:88-125 explicitly unresolved signing/lifecycle capabilities	Not assessed	P1	Obtain primary provider evidence before changing capability claims	Provider distinction; signing integrity; lifecycle restrictions	Provider documentation and scoped compatibility cases; no production probe	High for evidence gap	https://www.arvancloud.ir/en/products/cloud-storage
alaa-async-messaging	Data/messaging	SKILL.md:21-51 separates broker doctrine and driver mechanics; consumer broker unobserved	Not assessed	Defer	Retain body; assess durable-job implications only with F03	Outbox; ack; replay; redelivery; idempotency	Consumer broker/version and durable-receipt failure cases	Medium	https://www.rabbitmq.com/docs
alaa-bale-provider	Data/integrations	references/10-wire-contract.md:21-29,41-194 labels wire claims unverified	Not assessed	P1	W5 obtain current Safir contract; no fundamental rewrite inferred	Idempotency; ambiguous-send handling; provider validator	Primary dated vendor specification and contract fixtures	High for provenance gap	Official vendor source unresolved
alaa-bash-shell	Infrastructure/operations	SKILL.md:14-22 router; references/testing-and-ci.md:111 dated checkout pin	Not assessed	Defer	Verify target shell and action before any edit	POSIX/Bash separation; exit codes; quoting	Own validator and supported shell fixtures	Medium	https://github.com/actions/checkout
alaa-cc-orchestrator	Governance/runtime	SKILL.md:74 universal watchdog/command cadence; current migration Phase3 pending	Minor	P1	F06 host-aware cadence behind canonical runtime owner; provisional until W0	Mirrored behavior; bounded output; independent gates; authority	Both orchestrator contract gates and trace-based scenario review	High for wording; runtime unknown	https://code.claude.com/docs/en/sub-agents
alaa-cicd-laravel-postgres	Infrastructure/delivery	SKILL.md:14-16 requires scoped proof; consumer/prod parity not observed	Not assessed	Defer	No change until target CI and database evidence	Both DB gates; release proof; no silent fallback	Target CI and Postgres checks	Medium	https://www.postgresql.org/docs/
alaa-code-intelligence-routing	Governance/retrieval	SKILL.md:97-107 nine references without required topic-map	Minor	P2	F07 move router; preserve all trigger conditions	Same-worktree proof; one owner; bounded fallback; MCP read grants	Route equivalence; fleet reference check; installed inventory if API claims change	High	https://github.com/oraios/serena/releases
alaa-codex-orchestrator	Governance/runtime	SKILL.md:62 universal watchdog rule; source4.0.0 versus installed sentinel3.6.0	Minor	P1	F06 canonical host-aware guidance; F10 installation remains separate	Authority; source versus activation proof; independent gates; role grants	Renderer/pack/contracts; separate authorized installed-grant inspection	High for source facts	https://learn.chatgpt.com/docs/agent-configuration/subagents
alaa-codex-runtime-ops	Governance/runtime	SKILL.md:109 bounded recovery; Windows examples not reproduced	Not assessed	Defer	Retain exact-gate recovery until concrete failing case	One cause-specific retry; environment/product distinction	Original failing command on authorized representative environment	Medium	https://github.com/openai/codex/releases
alaa-controlled-ops	Governance/ownership	SKILL.md:24 clear package/adopter ownership; adopter evidence unavailable	Not assessed	Defer	Inspect actual package and adopter before classification	Source ranking; hashes; replay/conflict; release permission	Owner/adopter hash and gate evidence	Medium	Current package and adopter repository required
alaa-crockford-base32-codecs	Backend/codecs	SKILL.md:19-25 requires four-runtime parity; harness not executed	Not assessed	Defer	No rewrite inferred from age; inspect/run selected conformance separately	Exact wire parity; collision rejection; missing-runtime labels	Existing corpus across all implementations	Medium	Repository codec contract and corpus
alaa-data-layer	Data/storage	references/50-redis-laravel-octane.md:8-9 unverified July framework snapshot	Minor	P1	W4 refresh selected version-specific guidance against consumers	Postgres truth; tenancy; Redis expiry; transaction semantics	Consumer lock/runtime and targeted data failure cases	High for dated gap	https://laravel.com/docs/13.x/redis
alaa-docker-production	Infrastructure/operations	SKILL.md:34-45 rendered/final-stage gates; target Docker unknown	Not assessed	Defer	Preserve guidance pending exact target compatibility	Secrets; nonroot; rendered config and actual image proof	Compose config; own checker; target runtime	Medium	https://docs.docker.com/
alaa-extract-agent-lessons	Governance/knowledge	SKILL.md:36 admission/provenance clear; full reference/script audit absent	Not assessed	Defer	Retain inspected behavior; no rewrite justified	Empty-result success; workflow/memory separation; publication authority	Selected artifact checker and admission rejection scenarios	Medium	Repository admission and provenance contracts
alaa-frontend-developer	Frontend/design	SKILL.md:20-63 clear gates/router; consumer and deep examples unverified	Not assessed	Defer	Preserve body until consumer-specific audit	SSR; auth/token boundaries; browser/runtime proof	Target build/type/browser evidence	Medium	https://vuejs.org/
alaa-frontend-devops	Frontend/delivery	SKILL.md:22-26 artifact/provenance gates; July client snapshot	Not assessed	Defer	Check consumer build contract before changes	Public-bundle boundaries; commit/artifact provenance	verify-artifact-contract and consumer build	Medium	https://vite.dev/
alaa-frontend-doc-annotations	Documentation	SKILL.md:30-53 freshness rules; live-client claim dated July	Not assessed	Defer	Verify target source before refreshing annotations	Verified dates; security annotations; source ownership	Own annotation checker on current consumer	Medium	https://www.typescriptlang.org/docs/
