skill,category,A_instruction_design,B_domain_accuracy,C_ownership_packaging,current_issue_evidence,change_size,priority,proposed_change,preserved_capabilities,dependencies,risk,expected_benefit,validation,confidence,official_or_authoritative_source
alaa-algorithms-data-structures,Architecture/testing,Body and all 8 substantive references inspected; no static guidance defect found.,Static algorithm doctrine inspected; consumer performance unmeasured; no executable assets.,Inventory/dependencies captured; root structure/index/reference/lifecycle gates pass. Domain gates separate.,Body and all eight references inspected; no static instruction defect found; no executable assets,None,Defer,Leave static guidance unchanged; consumer proof remains task-specific,Sourced bounds; batch caps and partial failures; streaming; reasoned versus measured proof,alaa-controlled-ops; alaa-data-layer; alaa-golang-clean-code-principles; alaa-observability-soc; alaa-php-clean-code; alaa-project-constitution; alaa-prompting-guide; alaa-reliability-sla; alaa-security-review; alaa-services-contract; alaa-system-design; alaa-testing-strategy; alaa-vue-typescript-clean-code,Behavior regression if guards/examples are removed; do not edit unassessed surfaces.,No measured benefit; retain current behavior until evidence justifies change.,Consumer-specific bounded-input and query-count evidence when applied,High for static guidance,Repository contract; versions.md
alaa-arvan-object-storage,Data/integrations,Body inspected; specific defects and preservation listed. Full-reference coverage limited unless noted.,Partial: consumer applicability and uninspected API/command examples not certified; see versions.md.,Inventory/dependencies captured; root structure/index/reference/lifecycle gates pass. Domain gates separate.,SKILL.md:29-72; references/SOURCES.md:88-125 explicitly unresolved signing/lifecycle capabilities,Not assessed,P1,Obtain primary provider evidence before changing capability claims,Provider distinction; signing integrity; lifecycle restrictions,alaa-data-layer; alaa-docker-production; alaa-k8s-helm; alaa-minio-object-storage; alaa-reliability-sla; alaa-security-review; alaa-services-contract; alaa-testing-strategy; caas-arvan-kuber,Behavior regression if guards/examples are removed; do not edit unassessed surfaces.,No measured benefit; retain current behavior until evidence justifies change.,Provider documentation and scoped compatibility cases; no production probe,High for evidence gap,https://www.arvancloud.ir/en/products/cloud-storage
alaa-async-messaging,Data/messaging,Body inspected; specific defects and preservation listed. Full-reference coverage limited unless noted.,Partial: consumer applicability and uninspected API/command examples not certified; see versions.md.,Inventory/dependencies captured; root structure/index/reference/lifecycle gates pass. Domain gates separate.,SKILL.md:21-51 separates broker doctrine and driver mechanics; consumer broker unobserved,Not assessed,Defer,Retain body; assess durable-job implications only with F03,Outbox; ack; replay; redelivery; idempotency,alaa-data-layer; alaa-docker-production; alaa-go-chi-development; alaa-indexeddb-browser-storage; alaa-k8s-helm; alaa-laravel-architecture; alaa-laravel-job-rabbitmq; alaa-observability-soc; alaa-octane-performance; alaa-php-clean-code; alaa-project-constitution; alaa-prompting-guide; alaa-reliability-sla; alaa-security-review; alaa-services-contract; alaa-testing-strategy; caas-arvan-kuber,Behavior regression if guards/examples are removed; do not edit unassessed surfaces.,No measured benefit; retain current behavior until evidence justifies change.,Consumer broker/version and durable-receipt failure cases,Medium,https://www.rabbitmq.com/docs
alaa-bale-provider,Data/integrations,Body inspected; specific defects and preservation listed. Full-reference coverage limited unless noted.,Partial: consumer applicability and uninspected API/command examples not certified; see versions.md.,Inventory/dependencies captured; root structure/index/reference/lifecycle gates pass. Domain gates separate.,"references/10-wire-contract.md:21-29,41-194 labels wire claims unverified",Not assessed,P1,W5 obtain current Safir contract; no fundamental rewrite inferred,Idempotency; ambiguous-send handling; provider validator,alaa-async-messaging; alaa-frontend-developer; alaa-golang-clean-code-principles; alaa-input-normalization; alaa-observability-soc; alaa-php-clean-code; alaa-reliability-sla; alaa-security-review; alaa-services-contract; alaa-sms-provider-mediana; alaa-testing-strategy,Behavior regression if guards/examples are removed; do not edit unassessed surfaces.,No measured benefit; retain current behavior until evidence justifies change.,Primary dated vendor specification and contract fixtures,High for provenance gap,Official vendor source unresolved
alaa-bash-shell,Infrastructure/operations,Body inspected; specific defects and preservation listed. Full-reference coverage limited unless noted.,Partial: consumer applicability and uninspected API/command examples not certified; see versions.md.,Inventory/dependencies captured; root structure/index/reference/lifecycle gates pass. Domain gates separate.,SKILL.md:14-22 router; references/testing-and-ci.md:111 dated checkout pin,Not assessed,Defer,Verify target shell and action before any edit,POSIX/Bash separation; exit codes; quoting,alaa-prompting-guide,Behavior regression if guards/examples are removed; do not edit unassessed surfaces.,No measured benefit; retain current behavior until evidence justifies change.,Own validator and supported shell fixtures,Medium,https://github.com/actions/checkout
alaa-cc-orchestrator,Governance/runtime,Body inspected; specific defects and preservation listed. Full-reference coverage limited unless noted.,Partial: consumer applicability and uninspected API/command examples not certified; see versions.md.,Inventory/dependencies captured; root structure/index/reference/lifecycle gates pass. Domain gates separate.,SKILL.md:74 universal watchdog/command cadence; current migration Phase3 pending,Minor,P1,F06 host-aware cadence behind canonical runtime owner; provisional until W0,Mirrored behavior; bounded output; independent gates; authority,alaa-algorithms-data-structures; alaa-cicd-laravel-postgres; alaa-code-intelligence-routing; alaa-data-layer; alaa-docker-production; alaa-extract-agent-lessons; alaa-frontend-developer; alaa-gitlab-ci-cd; alaa-golang; alaa-golang-clean-code-principles; alaa-k8s-helm; alaa-laravel-architecture; alaa-laravel-public-api-contract-pack; alaa-low-noise; alaa-memory-os; alaa-not-a-real-skill; alaa-observability-soc; alaa-octane-performance; alaa-partitioned-table-fk-audit; alaa-php-clean-code; alaa-postman-collections; alaa-project-constitution; alaa-prompting-guide; alaa-repo-docs; alaa-security-review; alaa-services-contract; alaa-system-design; alaa-testing-strategy; alaa-trust-gateway-auth; alaa-ui-ux-design-system; alaa-vue-typescript-clean-code; alaa-workflow,Behavior regression if guards/examples are removed; do not edit unassessed surfaces.,Hypothesis: fewer execution/compatibility mistakes and clearer routing; no speed or cost improvement measured.,Both orchestrator contract gates and trace-based scenario review,High for wording; runtime unknown,https://code.claude.com/docs/en/sub-agents
alaa-cicd-laravel-postgres,Infrastructure/delivery,Body inspected; specific defects and preservation listed. Full-reference coverage limited unless noted.,Partial: consumer applicability and uninspected API/command examples not certified; see versions.md.,Inventory/dependencies captured; root structure/index/reference/lifecycle gates pass. Domain gates separate.,SKILL.md:14-16 requires scoped proof; consumer/prod parity not observed,Not assessed,Defer,No change until target CI and database evidence,Both DB gates; release proof; no silent fallback,alaa-algorithms-data-structures; alaa-controlled-ops; alaa-data-layer; alaa-docker-production; alaa-gitlab-ci-cd; alaa-observability-soc; alaa-partitioned-table-fk-audit; alaa-php-clean-code; alaa-prompting-guide; alaa-reliability-sla; alaa-security-review; alaa-services-contract; alaa-testing-strategy; alaa-workflow,Behavior regression if guards/examples are removed; do not edit unassessed surfaces.,No measured benefit; retain current behavior until evidence justifies change.,Target CI and Postgres checks,Medium,https://www.postgresql.org/docs/
alaa-code-intelligence-routing,Governance/retrieval,Body inspected; specific defects and preservation listed. Full-reference coverage limited unless noted.,Partial: consumer applicability and uninspected API/command examples not certified; see versions.md.,Concrete router-layout violation; root gates pass but do not enforce this semantic requirement.,SKILL.md:97-107 nine references without required topic-map,Minor,P2,F07 move router; preserve all trigger conditions,Same-worktree proof; one owner; bounded fallback; MCP read grants,alaa-frontend-developer; alaa-frontend-doc-annotations; alaa-golang; alaa-laravel-architecture; alaa-low-noise; alaa-prompting-guide; alaa-repo-docs; alaa-vue-typescript-clean-code; alaa-workflow,Behavior regression if guards/examples are removed; do not edit unassessed surfaces.,Hypothesis: fewer execution/compatibility mistakes and clearer routing; no speed or cost improvement measured.,Route equivalence; fleet reference check; installed inventory if API claims change,High,https://github.com/oraios/serena/releases
alaa-codex-orchestrator,Governance/runtime,Body inspected; specific defects and preservation listed. Full-reference coverage limited unless noted.,Partial: consumer applicability and uninspected API/command examples not certified; see versions.md.,Inventory/dependencies captured; root structure/index/reference/lifecycle gates pass. Domain gates separate.,SKILL.md:62 universal watchdog rule; source4.0.0 versus installed sentinel3.6.0,Minor,P1,F06 canonical host-aware guidance; F10 installation remains separate,Authority; source versus activation proof; independent gates; role grants,alaa-accessibility-reviewer; alaa-adversarial-reviewer; alaa-algorithms-data-structures; alaa-api-contract-reviewer; alaa-architecture-critic; alaa-browser-qa; alaa-cicd-laravel-postgres; alaa-code-intelligence-routing; alaa-data-layer; alaa-dependency-auditor; alaa-docker-production; alaa-documenter; alaa-explorer; alaa-extract-agent-lessons; alaa-failure-analyst; alaa-frontend-developer; alaa-gitlab-ci-cd; alaa-golang; alaa-golang-clean-code-principles; alaa-implementer; alaa-implementer-sol; alaa-instruction-reviewer; alaa-k8s-helm; alaa-laravel-public-api-contract-pack; alaa-low-noise; alaa-memory-os; alaa-migration-guardian; alaa-observability-reviewer; alaa-observability-soc; alaa-octane-performance; alaa-partitioned-table-fk-audit; alaa-performance-profiler; alaa-php-clean-code; alaa-postman-collections; alaa-project-constitution; alaa-prompting-guide; alaa-release-guardian; alaa-repo-docs; alaa-researcher; alaa-reviewer; alaa-reviewer-deep; alaa-security-review; alaa-security-reviewer; alaa-services-contract; alaa-spec-analyst; alaa-system-design; alaa-test-strategist; alaa-testing-strategy; alaa-trust-gateway-auth; alaa-ui-ux-design-system; alaa-verifier; alaa-vue-typescript-clean-code; alaa-workflow,Behavior regression if guards/examples are removed; do not edit unassessed surfaces.,Hypothesis: fewer execution/compatibility mistakes and clearer routing; no speed or cost improvement measured.,Renderer/pack/contracts; separate authorized installed-grant inspection,High for source facts,https://learn.chatgpt.com/docs/agent-configuration/subagents
alaa-codex-runtime-ops,Governance/runtime,Body inspected; specific defects and preservation listed. Full-reference coverage limited unless noted.,Partial: consumer applicability and uninspected API/command examples not certified; see versions.md.,Inventory/dependencies captured; root structure/index/reference/lifecycle gates pass. Domain gates separate.,SKILL.md:109 bounded recovery; Windows examples not reproduced,Not assessed,Defer,Retain exact-gate recovery until concrete failing case,One cause-specific retry; environment/product distinction,service-runtime-kit-governance,Behavior regression if guards/examples are removed; do not edit unassessed surfaces.,No measured benefit; retain current behavior until evidence justifies change.,Original failing command on authorized representative environment,Medium,https://github.com/openai/codex/releases
